Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
Single,1st phase - general contingent,2,Basic Education,Daytime,Secondary education,133.0,Portuguese,Basic Education 3rd Cycle,Basic Education 1st Cycle,Administrative,Unskilled,130.2,Yes,No,No,Yes,Female,No,19,No,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
Single,Short cycle diploma holders,1,Tourism,Daytime,Professional higher technical course,110.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Administrative,Construction/Craft,111.8,Yes,No,No,Yes,Female,Yes,21,No,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate
Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,149.0,Portuguese,Basic Education 2nd Cycle,Basic Education 1st Cycle,Service/Security/Sales,Service/Security/Sales,137.1,Yes,No,No,Yes,Female,Yes,18,No,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate
Single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,127.0,Portuguese,Basic Education 3rd Cycle,Basic Education 1st Cycle,Unskilled,Technician/Professional,120.7,Yes,No,No,Yes,Female,No,20,No,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,3rd phase - general contingent,1,Social Service,Daytime,Secondary education,137.0,Portuguese,Basic Education 3rd Cycle,Basic Education 2nd Cycle,Service/Security/Sales,Machine Operator,137.4,Yes,No,No,Yes,Female,No,18,No,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled
Single,2nd phase - general contingent,2,Nursing,Daytime,Secondary education,135.0,Portuguese,Basic Education 3rd Cycle,Secondary Education - 12th Year,Service/Security/Sales,Administrative,127.3,Yes,No,No,Yes,Female,No,18,No,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
Single,1st phase - general contingent,1,Equinculture,Daytime,Secondary education,137.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle,Technician/Professional,Service/Security/Sales,136.3,Yes,No,No,Yes,Female,No,20,No,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary education,140.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Construction/Craft,Construction/Craft,124.6,Yes,No,No,Yes,Female,No,18,No,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
Single,1st phase - general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,122.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Unskilled,Machine Operator,120.3,No,No,No,Yes,Female,Yes,21,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate
Single,3rd phase - general contingent,4,Oral Hygiene,Daytime,Secondary education,127.0,Portuguese,Secondary Education - 12th Year,Basic Education 2nd Cycle,Administrative,Construction/Craft,121.8,Yes,No,No,Yes,Female,No,20,No,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled
Single,1st phase - general contingent,4,Nursing,Daytime,Secondary education,142.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Executive/Director,Executive/Director,125.5,Yes,No,No,Yes,Female,No,18,No,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate
Single,1st phase - general contingent,4,Advertising and Marketing Management,Daytime,Secondary education,125.0,Portuguese,Secondary Education - 12th Year,Basic Education 2nd Cycle,Administrative,Construction/Craft,114.9,Yes,No,No,Yes,Female,Yes,19,No,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduate
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,126.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Technician/Professional,Construction/Craft,123.9,No,No,No,Yes,Female,No,19,No,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate
Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,151.0,Portuguese,Basic Education 3rd Cycle,Basic Education 2nd Cycle,Unskilled,Unskilled,157.0,Yes,No,Yes,Yes,Female,Yes,18,No,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled
Single,2nd phase - general contingent,2,Social Service,Daytime,Secondary education,115.0,Portuguese,Basic Education 3rd Cycle,Basic Education 2nd Cycle,Construction/Craft,Machine Operator,116.4,Yes,No,No,Yes,Female,No,21,No,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate
Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,138.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Technician/Professional,Technician/Professional,131.0,Yes,No,No,Yes,Female,No,18,No,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled
Single,1st phase - general contingent,1,Management,Daytime,Secondary education,135.0,Portuguese,Basic Education 3rd Cycle,Secondary Education - 12th Year,Unskilled,Unskilled,122.1,Yes,No,No,Yes,Female,No,20,No,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate
Single,2nd phase - general contingent,2,Nursing,Daytime,Secondary education,127.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Executive/Director,Armed Forces,118.8,Yes,No,No,Yes,Male,No,19,No,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,150.0,Portuguese,Higher Education - Master's,Higher Education - Doctorate,Administrative,Intellectual/Scientific,150.0,No,No,No,Yes,Male,No,21,No,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled
Single,Change of institution/course,1,Communication Design,Daytime,Secondary education,125.0,Portuguese,Professional Higher Technical Course,Higher Education - Degree,ICT Specialist,Finance/Admin/Public Relations,130.0,Yes,No,No,Yes,Male,No,20,No,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate
Single,1st phase - general contingent,1,Management,Daytime,Secondary education,143.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Administrative,Agriculture/Fishery,138.8,No,No,No,No,Male,No,18,No,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
Single,3rd phase - general contingent,1,Social Service (evening attendance),Evening,Secondary education,138.0,Portuguese,Basic Education 3rd Cycle,Secondary Education - 12th Year,Unskilled,Service/Security/Sales,134.5,Yes,No,No,Yes,Female,No,19,No,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
Single,1st phase - general contingent,1,Management (evening attendance),Evening,Secondary education,130.0,Portuguese,Higher Education - Bachelor's,Basic Education 1st Cycle,Technician/Professional,Unskilled,131.4,No,No,No,Yes,Male,No,34,No,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate
Single,Over 23 years old,1,Biofuel Production Technologies,Daytime,Secondary education,130.0,Portuguese,Basic Education 2nd Cycle,Basic Education 1st Cycle,Unskilled,Agriculture/Fishery,102.5,No,No,Yes,No,Male,No,37,No,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout
Single,Over 23 years old,1,Informatics Engineering,Daytime,11th year - not completed,133.1,Portuguese,Unknown,Basic Education 1st Cycle,Student,Student,128.8,Yes,No,No,Yes,Male,No,43,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout
Single,Change of course,1,Management,Daytime,Secondary education,140.0,Portuguese,Basic Education 1st Cycle,Basic Education 1st Cycle,Agriculture/Fishery,Agriculture/Fishery,122.9,No,No,No,Yes,Female,No,55,No,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout
Divorced,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,120.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Unskilled,Technician/Professional,113.9,Yes,No,No,Yes,Female,No,39,No,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
Single,Technological specialization diploma holders,1,Equinculture,Daytime,Technological specialization course,120.0,Spanish,Higher Education - Master's,Higher Education - Master's,Technician/Professional,Agriculture/Fishery,120.0,No,No,Yes,No,Female,No,20,Yes,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout
Single,1st phase - general contingent,5,Journalism and Communication,Daytime,Secondary education,126.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Intellectual/Scientific,Intellectual/Scientific,121.1,No,No,Yes,Yes,Female,No,18,No,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
Single,1st phase - general contingent,2,Management,Daytime,Secondary education,133.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle,Intellectual/Scientific,Construction/Craft,120.4,Yes,No,No,Yes,Female,No,22,No,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate
Single,1st phase - general contingent,6,Nursing,Daytime,Secondary education,103.0,Portuguese,Secondary Education - 12th Year,Higher Education - Degree,Intellectual/Scientific,Intellectual/Scientific,100.6,Yes,Yes,No,Yes,Female,No,22,No,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Graduate
Single,2nd phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,120.0,Portuguese,Secondary Education - 12th Year,Basic Education 2nd Cycle,Service/Security/Sales,Service/Security/Sales,121.4,No,No,No,No,Female,No,20,No,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,133.1,Portuguese,Basic Education 1st Cycle,Basic Education 1st Cycle,Unskilled,Unskilled,109.7,No,No,No,Yes,Female,No,29,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout
Single,2nd phase - general contingent,1,Management (evening attendance),Evening,Secondary education,154.0,Portuguese,Basic Education 2nd Cycle,Basic Education 2nd Cycle,Administrative,Service/Security/Sales,134.1,No,No,No,Yes,Female,No,24,No,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled
Single,2nd phase - general contingent,2,Social Service,Daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Unskilled,Unskilled,127.6,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate
Single,2nd phase - general contingent,6,Nursing,Daytime,Secondary education,132.0,Portuguese,Basic Education 1st Cycle,Basic Education 3rd Cycle,Construction/Craft,Construction/Craft,132.4,Yes,No,No,Yes,Female,Yes,22,No,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Graduate
Single,Technological specialization diploma holders,1,Social Service (evening attendance),Evening,Technological specialization course,130.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Unskilled,Unskilled,133.4,No,No,No,Yes,Female,Yes,21,No,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate
Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,139.0,Portuguese,Basic Education 1st Cycle,Basic Education 2nd Cycle,Unskilled,Unskilled,126.1,No,No,No,Yes,Female,Yes,19,No,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate
Single,Over 23 years old,1,Tourism,Daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle,Basic Education 2nd Cycle,Unskilled,Construction/Craft,113.5,No,No,No,Yes,Female,Yes,24,No,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,139.0,Portuguese,Basic Education 1st Cycle,Basic Education 2nd Cycle,Agriculture/Fishery,Agriculture/Fishery,121.3,Yes,No,No,Yes,Female,Yes,19,No,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled
Single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,127.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Construction/Craft,Construction/Craft,121.8,Yes,No,No,Yes,Female,Yes,20,No,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled
Single,1st phase - general contingent,3,Equinculture,Daytime,Secondary education,167.0,Portuguese,Basic Education 1st Cycle,Basic Education 1st Cycle,Other,Other,159.3,No,No,No,Yes,Female,No,19,No,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,130.0,Portuguese,Basic Education 2nd Cycle,Basic Education 2nd Cycle,Unskilled,Unskilled,120.0,No,No,No,Yes,Female,No,27,No,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,130.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Service/Security/Sales,Service/Security/Sales,129.1,Yes,No,No,Yes,Female,No,18,No,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate
Married,Holders of other higher courses,1,Tourism,Daytime,Higher education - degree,130.0,Portuguese,Secondary Education - 12th Year,Higher Education - Degree,Administrative,Technician/Professional,130.0,No,No,No,Yes,Female,No,39,No,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
Single,Over 23 years old,1,Equinculture,Daytime,Higher education - degree (1st cycle),129.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Intellectual/Scientific,Intellectual/Scientific,155.3,Yes,No,No,Yes,Female,No,27,No,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
Single,2nd phase - general contingent,1,Nursing,Daytime,Secondary education,141.0,Portuguese,Basic Education 2nd Cycle,Basic Education 2nd Cycle,Construction/Craft,Armed Forces,139.8,Yes,No,No,Yes,Female,No,18,No,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate
Single,1st phase - general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,125.0,Portuguese,Basic Education 2nd Cycle,Basic Education 1st Cycle,Administrative,Unskilled,115.2,Yes,No,No,Yes,Female,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled
Single,1st phase - general contingent,2,Nursing,Daytime,Secondary education,125.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Unskilled,Unskilled,114.9,No,No,No,Yes,Female,No,18,No,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,Graduate
Single,Technological specialization diploma holders,1,Social Service,Daytime,Technological specialization course,130.0,Portuguese,Basic Education 3rd Cycle,Secondary Education - 12th Year,Unskilled,Unskilled,131.9,No,No,No,Yes,Female,Yes,21,No,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate
Single,2nd phase - general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,133.0,Portuguese,Secondary Education - 12th Year,Basic Education 1st Cycle,Administrative,Construction/Craft,126.0,Yes,No,No,Yes,Male,Yes,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled
Single,2nd phase - general contingent,1,Communication Design,Daytime,Secondary education,127.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Technician/Professional,Administrative,130.2,Yes,No,No,Yes,Male,No,19,No,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled
Single,Change of course,1,Communication Design,Daytime,Secondary education,116.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Technician/Professional,Technician/Professional,120.9,No,No,No,Yes,Male,No,24,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled
Divorced,Transfer,1,Nursing,Daytime,Basic education 3rd cycle,133.1,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Service/Security/Sales,Service/Security/Sales,126.0,Yes,No,No,Yes,Male,No,29,No,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout
Single,1st phase - general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,139.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Service/Security/Sales,Technician/Professional,128.2,Yes,No,No,Yes,Male,Yes,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,130.0,Portuguese,Basic Education 3rd Cycle,Basic Education 1st Cycle,Unskilled,Unskilled,130.0,Yes,No,No,Yes,Male,No,23,No,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,Graduate
Single,1st phase - general contingent,3,Management,Daytime,Secondary education,125.0,Portuguese,Secondary Education - 12th Year,Basic Education 2nd Cycle,Construction/Craft,Construction/Craft,120.1,No,No,Yes,Yes,Male,No,19,No,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout
Single,Over 23 years old,1,Tourism,Daytime,Secondary education,160.0,Portuguese,Basic Education 3rd Cycle,Basic Education 1st Cycle,Construction/Craft,Armed Forces,100.0,No,No,No,Yes,Male,No,26,No,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled
Single,2nd phase - general contingent,1,Management,Daytime,Secondary education,148.0,Portuguese,Basic Education 2nd Cycle,Basic Education 1st Cycle,Service/Security/Sales,Service/Security/Sales,134.0,No,No,No,Yes,Male,No,18,No,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled
Single,2nd phase - general contingent,1,Nursing,Daytime,Secondary education,150.0,Portuguese,Basic Education 1st Cycle,Basic Education 3rd Cycle,Machine Operator,Administrative,130.8,No,No,No,Yes,Male,No,24,No,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate
Single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,141.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Service/Security/Sales,Armed Forces,135.8,Yes,No,No,Yes,Male,No,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,2nd phase - general contingent,4,Tourism,Daytime,Secondary education,118.0,Portuguese,Basic Education 2nd Cycle,Basic Education 1st Cycle,Service/Security/Sales,Construction/Craft,111.7,Yes,No,No,Yes,Male,No,18,No,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout
Single,1st phase - general contingent,2,Journalism and Communication,Daytime,Secondary education,142.0,Portuguese,Basic Education 2nd Cycle,Basic Education 2nd Cycle,Unskilled,Unskilled,132.9,Yes,No,No,Yes,Male,No,18,No,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,Graduate
Single,2nd phase - general contingent,3,Management,Daytime,Secondary education,120.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Administrative,Construction/Craft,115.5,Yes,No,Yes,Yes,Male,No,18,No,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,Dropout
Single,3rd phase - general contingent,4,Tourism,Daytime,Secondary education,106.0,Portuguese,Basic Education 3rd Cycle,Basic Education 1st Cycle,Construction/Craft,Construction/Craft,106.0,Yes,No,No,Yes,Male,Yes,21,No,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout
Single,2nd phase - general contingent,4,Journalism and Communication,Daytime,Secondary education,121.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Unskilled,Machine Operator,120.3,Yes,No,Yes,Yes,Male,Yes,19,No,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate
Single,2nd phase - general contingent,4,Nursing,Daytime,Secondary education,150.0,Portuguese,Basic Education 2nd Cycle,Basic Education 1st Cycle,Unskilled,Unskilled,130.8,No,No,No,Yes,Male,Yes,22,No,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,Graduate
Married,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,120.0,Portuguese,Basic Education 1st Cycle,Basic Education 1st Cycle,Unskilled,Agriculture/Fishery,117.0,No,No,No,Yes,Male,No,33,No,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,Graduate
Single,1st phase - general contingent,6,Basic Education,Daytime,Secondary education,114.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Unskilled,Unskilled,110.2,Yes,No,No,Yes,Male,No,20,No,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout
Single,Over 23 years old,1,Management (evening attendance),Evening,Higher education - bachelor's degree,140.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Intellectual/Scientific,Intellectual/Scientific,155.7,Yes,No,No,Yes,Male,No,35,No,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout
Single,Over 23 years old,1,Agronomy,Daytime,Higher education - master's,160.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Administrative,Intellectual/Scientific,180.4,No,No,Yes,Yes,Male,No,24,No,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout
